niche,platform,content,source_alpha,category,status,generated_at
printmaxxer,twitter,"signal worth paying attention to.

bitcoin price on eid 

2010: $0. 06
2011: $3
2012: $5
2013: $100
2014: $450
2015: $280
2016: $660
2017: $2,550
2018: $6,650
2019: $7,400
2020: $8,700
2021: $45,400
2022: $38,000
2023: $27,100
2024:..",ALPHA1773997617,GENERAL,PENDING_REVIEW,2026-03-23T00:07:45.962722
printmaxxer,twitter,"ai workflow that prints.

at the agents anonymous sf meetup last night we did another  ai usage survey, here are the est.  numbers:

usage stats:
- 90% claude code 
- 60% codex 
- 30% cursor
- 20% opencode
- 10% conductor
-..",ALPHA1773997656,AI_ALPHA,PENDING_REVIEW,2026-03-23T00:07:45.962734
printmaxxer,twitter,"signal worth paying attention to.

kinda, in 2014 i made $5k/mo with nomad list, 2015 was $10k/mo with remote ok added

before that 2008-2013, i was making anywhere from $2k to $8k/mo with my youtube channel

and then before 2008 i ..",ALPHA1773997863,GENERAL,PENDING_REVIEW,2026-03-23T00:07:45.962740
faith,twitter,"every hustle needs purpose. bitcoin price on eid 

2010: $0",ALPHA1773997617,GENERAL,PENDING_REVIEW,2026-03-23T00:07:45.962752
fitness,twitter,"discipline compounds. bitcoin price on eid 

2010: $0",ALPHA1773997617,GENERAL,PENDING_REVIEW,2026-03-23T00:07:45.962758
tech,twitter,"built this. bitcoin price on eid 

2010: $0",ALPHA1773997617,GENERAL,PENDING_REVIEW,2026-03-23T00:07:45.962763
finance,twitter,"alpha: bitcoin price on eid 

2010: $0",ALPHA1773997617,GENERAL,PENDING_REVIEW,2026-03-23T00:07:45.962767
tech,twitter,"built this. at the agents anonymous sf meetup last night we did another  ai usage survey, here are the est",ALPHA1773997656,AI_ALPHA,PENDING_REVIEW,2026-03-23T00:07:45.962773
finance,twitter,"alpha: at the agents anonymous sf meetup last night we did another  ai usage survey, here are the est",ALPHA1773997656,AI_ALPHA,PENDING_REVIEW,2026-03-23T00:07:45.962778
faith,twitter,"every hustle needs purpose. kinda, in 2014 i made $5k/mo with nomad list, 2015 was $10k/mo with remote ok added

before that 2008-2013, i was making anywhere from $2k to $8k/mo with my youtube channel

and then before 2008 i was making maybe $500 - $1k/mo with my adsense blogs

and then around 2003 i was",ALPHA1773997863,GENERAL,PENDING_REVIEW,2026-03-23T00:07:45.962784
fitness,twitter,"discipline compounds. kinda, in 2014 i made $5k/mo with nomad list, 2015 was $10k/mo with remote ok added

before that 2008-2013, i was making anywhere from $2k to $8k/mo with my youtube channel

and then before 2008 i was making maybe $500 - $1k/mo with my adsense blogs

and then around 2003 i was",ALPHA1773997863,GENERAL,PENDING_REVIEW,2026-03-23T00:07:45.962790
tech,twitter,"built this. kinda, in 2014 i made $5k/mo with nomad list, 2015 was $10k/mo with remote ok added

before that 2008-2013, i was making anywhere from $2k to $8k/mo with my youtube channel

and then before 2008 i was making maybe $500 - $1k/mo with my adsense blogs

and then around 2003 i was",ALPHA1773997863,GENERAL,PENDING_REVIEW,2026-03-23T00:07:45.962795
finance,twitter,"alpha: kinda, in 2014 i made $5k/mo with nomad list, 2015 was $10k/mo with remote ok added

before that 2008-2013, i was making anywhere from $2k to $8k/mo with my youtube channel

and then before 2008 i was making maybe $500 - $1k/mo with my adsense blogs

and then around 2003 i was",ALPHA1773997863,GENERAL,PENDING_REVIEW,2026-03-23T00:07:45.962800
