top_level,file_count,total_bytes,py_files,csv_files,md_files
03_PLAYBOOKS,783154,7495503355,36,25,35437
app factory,461444,4752565227,14,2,18973
07_LANDING,29328,923056020,1,0,904
ralph,12203,148207194,4,15,884
MONEY_METHODS,11622,387708904,3,8,336
AUTOMATIONS,2309,1849476700,183,146,1287
LEDGER,2145,73440761,1,1967,150
AUDIT,1304,12979105972,0,5,21
output,1086,211217244,0,70,59
OPS,786,7979833,1,25,725
04_CONTENT,733,2172338,0,1,668
05_AUTOMATION,721,107554699,144,17,304
builds,636,7200801,1,0,0
PRODUCTS,124,1969517,1,0,121
06_OPERATIONS,86,1059321,0,2,83
scripts,77,6324128,36,0,8
CONTENT,74,1560613,0,8,65
.claude,63,436861,0,0,54
02_TRACKING,59,1956544,1,39,19
logs,54,1115936,0,0,0
(root),49,2020152,2,3,18
cal ai,40,14158289,0,0,0
10_RESEARCH,31,268992,0,0,29
DIGITAL_PRODUCTS,25,464474,1,0,19
09_LEGAL,24,235213,0,0,24
RESEARCH,19,587815,0,0,19
EMAIL,16,74121,0,0,8
01_STRATEGY,10,303332,0,0,10
.ralph,8,61366,1,4,2
FINANCIALS,8,14031,0,7,1
08_PRODUCTS,6,48670,0,0,6
MASTER_DOC,6,1355333,0,0,5
tasks,5,26077,0,0,5
.guardrails,4,5166,0,0,0
PRINTMAXX Terminal.app,3,103518,0,0,0
SECRETS,3,11689,0,0,1
.expo,2,1011,0,0,1
clips,1,139,0,1,0
