relpath,size_bytes,size_human,mtime_iso
AUTOMATIONS/leads/bulk/US_LEADS_MASTER.csv,632551429,603.25 MB,2026-02-13 00:05:48
AUTOMATIONS/leads/qualified/PREFILTERED_LEADS.csv,427398664,407.60 MB,2026-02-12 19:18:46
AUTOMATIONS/leads/bulk/US_LEADS_RESTAURANT.csv,222688005,212.37 MB,2026-02-12 08:55:27
AUDIT/META_VISION_2026_02_16_FILE_INVENTORY.csv,204715046,195.23 MB,2026-02-16 15:01:54
07_LANDING/printmaxx-site/node_modules/.remotion/chrome-headless-shell/mac-arm64/chrome-headless-shell-mac-arm64/chrome-headless-shell,143422176,136.78 MB,2026-01-21 18:36:14
MONEY_METHODS/APP_FACTORY/builds/robloxmaxx/api/node_modules/@next/swc-darwin-arm64/next-swc.darwin-arm64.node,130286696,124.25 MB,2026-02-07 17:04:46
07_LANDING/printmaxx-site/node_modules/@next/swc-darwin-arm64/next-swc.darwin-arm64.node,102923976,98.16 MB,2026-01-18 23:10:37
AUTOMATIONS/leads/bulk/US_LEADS_SALON.csv,92493834,88.21 MB,2026-02-12 08:56:56
07_LANDING/printmaxx-site/node_modules/.cache/webpack/remotion-development-4.0.407/f6a85ea3840983861852723fc9c4d2e2/0.pack,85967608,81.99 MB,2026-01-21 18:35:49
AUTOMATIONS/leads/bulk/US_LEADS_REALTOR.csv,75309479,71.82 MB,2026-02-12 08:56:27
AUTOMATIONS/leads/bulk/US_LEADS_AUTO_REPAIR.csv,58270773,55.57 MB,2026-02-12 09:09:44
AUTOMATIONS/leads/qualified/ANALYZED_LEADS.csv,53926329,51.43 MB,2026-02-17 03:32:31
output/clips/Rick_Astley_-_Never_Gonna_Give_You_Up_Official_Video_4K_Remaster_dQw4w9WgXcQ/clip_01_vertical.mp4,45166127,43.07 MB,2026-02-12 01:54:23
output/clips/Rick_Astley_-_Never_Gonna_Give_You_Up_Official_Video_4K_Remaster_dQw4w9WgXcQ/clip_02_vertical.mp4,43996690,41.96 MB,2026-02-12 01:54:56
AUTOMATIONS/leads/bulk/US_LEADS_DENTIST.csv,42447463,40.48 MB,2026-02-12 08:55:01
AUTOMATIONS/leads/bulk/US_LEADS_DOCTOR.csv,42332471,40.37 MB,2026-02-12 08:56:07
output/clips/Rick_Astley_-_Never_Gonna_Give_You_Up_Official_Video_4K_Remaster_dQw4w9WgXcQ/clip_03_vertical.mp4,41492305,39.57 MB,2026-02-12 01:55:45
07_LANDING/printmaxx-site/node_modules/.cache/webpack/remotion-production-4.0.407/03507e055efb55d7ee27d9133f985741/1.pack,39043117,37.23 MB,2026-01-22 02:47:04
output/clips/raw/Rick_Astley_-_Never_Gonna_Give_You_Up_Official_Video_4K_Remaster_dQw4w9WgXcQ.mp4,34353611,32.76 MB,2025-12-28 16:05:25
AUTOMATIONS/leads/qualified/WARM_LEADS_QUALIFIED.csv,33426379,31.88 MB,2026-02-17 03:32:32
AUTOMATIONS/leads/bulk/US_LEADS_GYM.csv,28615284,27.29 MB,2026-02-12 08:56:37
03_PLAYBOOKS/APP_FACTORY/builds/biomaxx-sdk54/node_modules/react-native/sdks/hermesc/win64-bin/icudt64.dll,27534336,26.26 MB,2026-01-22 00:53:40
03_PLAYBOOKS/APP_FACTORY/builds/biomaxx/node_modules/react-native/sdks/hermesc/win64-bin/icudt64.dll,27534336,26.26 MB,2026-01-22 00:02:26
03_PLAYBOOKS/APP_FACTORY/builds/dailyanchor-sdk54/node_modules/react-native/sdks/hermesc/win64-bin/icudt64.dll,27534336,26.26 MB,2026-01-22 01:13:51
03_PLAYBOOKS/APP_FACTORY/builds/dailyanchor/node_modules/react-native/sdks/hermesc/win64-bin/icudt64.dll,27534336,26.26 MB,2026-01-21 17:20:56
03_PLAYBOOKS/APP_FACTORY/builds/devotionflow-sdk54/node_modules/react-native/sdks/hermesc/win64-bin/icudt64.dll,27534336,26.26 MB,2026-01-22 01:14:26
03_PLAYBOOKS/APP_FACTORY/builds/devotionflow/node_modules/react-native/sdks/hermesc/win64-bin/icudt64.dll,27534336,26.26 MB,2026-01-21 17:21:51
03_PLAYBOOKS/APP_FACTORY/builds/focusprayer-sdk54/node_modules/react-native/sdks/hermesc/win64-bin/icudt64.dll,27534336,26.26 MB,2026-01-22 01:32:42
03_PLAYBOOKS/APP_FACTORY/builds/focusprayer/node_modules/react-native/sdks/hermesc/win64-bin/icudt64.dll,27534336,26.26 MB,2026-01-21 17:21:32
03_PLAYBOOKS/APP_FACTORY/builds/glowmaxx-sdk54/node_modules/react-native/sdks/hermesc/win64-bin/icudt64.dll,27534336,26.26 MB,2026-01-22 01:47:01
03_PLAYBOOKS/APP_FACTORY/builds/glowmaxx/node_modules/react-native/sdks/hermesc/win64-bin/icudt64.dll,27534336,26.26 MB,2026-01-21 17:48:50
03_PLAYBOOKS/APP_FACTORY/builds/learnlock-sdk54/node_modules/react-native/sdks/hermesc/win64-bin/icudt64.dll,27534336,26.26 MB,2026-01-22 02:40:42
03_PLAYBOOKS/APP_FACTORY/builds/learnlock/node_modules/react-native/sdks/hermesc/win64-bin/icudt64.dll,27534336,26.26 MB,2026-01-21 17:21:14
03_PLAYBOOKS/APP_FACTORY/builds/pelvicpro-sdk54/node_modules/react-native/sdks/hermesc/win64-bin/icudt64.dll,27534336,26.26 MB,2026-01-22 01:11:06
03_PLAYBOOKS/APP_FACTORY/builds/pelvicpro/node_modules/react-native/sdks/hermesc/win64-bin/icudt64.dll,27534336,26.26 MB,2026-01-21 11:41:32
03_PLAYBOOKS/APP_FACTORY/builds/prayerlock-sdk54/node_modules/react-native/sdks/hermesc/win64-bin/icudt64.dll,27534336,26.26 MB,2026-01-22 00:40:07
