script_id,niche,affiliate_offer,platform,script_file,video_status,posted_at,views,clicks,conversions,revenue,notes
40ecfc09bb,fitness,Athletic Greens (AG1),ALL,AUTOMATIONS/auto_ops/video_scripts/fitness/2026-02-13/40ecfc09bb.md,SCRIPTED,,0,0,0,0,Duration: ~25s. Topic: how intermittent fasting actually works
cef49c6984,fitness,Transparent Labs supplements,ALL,AUTOMATIONS/auto_ops/video_scripts/fitness/2026-04-15/cef49c6984.md,SCRIPTED,,0,0,0,0,Duration: ~24s. Topic: the supplement nobody talks about for recovery
246d779c53,fitness,Noom weight loss,ALL,AUTOMATIONS/auto_ops/video_scripts/fitness/2026-04-15/246d779c53.md,SCRIPTED,,0,0,0,0,Duration: ~22s. Topic: cold shower benefits backed by science
e8706a9782,fitness,Noom weight loss,ALL,AUTOMATIONS/auto_ops/video_scripts/fitness/2026-04-15/e8706a9782.md,SCRIPTED,,0,0,0,0,Duration: ~23s. Topic: why walking 10K steps beats the gym
e7b35eea6f,fitness,Peloton app,ALL,AUTOMATIONS/auto_ops/video_scripts/fitness/2026-04-15/e7b35eea6f.md,SCRIPTED,,0,0,0,0,Duration: ~21s. Topic: the one exercise that fixes bad posture
3410f02249,fitness,Optimum Nutrition (Amazon),ALL,AUTOMATIONS/auto_ops/video_scripts/fitness/2026-04-15/3410f02249.md,SCRIPTED,,0,0,0,0,Duration: ~28s. Topic: meal prep for muscle gain on a budget
af40171a7b,fitness,Athletic Greens (AG1),ALL,AUTOMATIONS/auto_ops/video_scripts/fitness/2026-04-15/af40171a7b.md,SCRIPTED,,0,0,0,0,Duration: ~20s. Topic: why you can't lose weight (it's not calories)
be2bfc83db,fitness,Noom weight loss,ALL,AUTOMATIONS/auto_ops/video_scripts/fitness/2026-04-15/be2bfc83db.md,SCRIPTED,,0,0,0,0,Duration: ~22s. Topic: how intermittent fasting actually works
6810d7a399,fitness,Transparent Labs supplements,ALL,AUTOMATIONS/auto_ops/video_scripts/fitness/2026-04-15/6810d7a399.md,SCRIPTED,,0,0,0,0,Duration: ~24s. Topic: how to fix rounded shoulders permanently
014e6f2192,fitness,Transparent Labs supplements,ALL,AUTOMATIONS/auto_ops/video_scripts/fitness/2026-04-15/014e6f2192.md,SCRIPTED,,0,0,0,0,Duration: ~23s. Topic: calorie deficit explained in 30 seconds
