date,niche,channel,text,views,score,signals,content_hash
2020-03-10,crypto_defi,@whale_alert,"Whale Alert 2,000,000 #XTZ (5,159,338 USD) transferred from unknown wallet to #Binance Tx: https://t.co/dJblf3bX9a 20.7K views 16:24",0,75,growth_hack,e548064eb2f3
2020-03-10,crypto_defi,@whale_alert,Whale Alert ℹ️ This is likely an internal #Binance transaction. 17.7K views 16:34,0,75,growth_hack,a64efde38967
2020-03-10,crypto_defi,@whale_alert,"Whale Alert 💵 1,500,000 #HUSD (1,500,000 USD) minted at #Huobi Tx: https://t.co/uR0vvC7Fm4 whale-alert.io Transaction | Whale Alert Monitor crypto market trends and large transactions with Whale Alert. Set personalized alerts, view live price updates and analyze crypto data through powerful visualiz",0,75,growth_hack,9c25624eebbb
2020-03-10,crypto_defi,@whale_alert,"Whale Alert 🔥 1,125,428 #USDC (1,125,428 USD) burned at USDC Incinerator Tx: https://t.co/vM0i7l5ly2 whale-alert.io Transaction | Whale Alert Monitor crypto market trends and large transactions with Whale Alert. Set personalized alerts, view live price updates and analyze crypto data through powerfu",0,75,growth_hack,21778e5222d2
2020-03-10,crypto_defi,@whale_alert,"Whale Alert 773 #BTC (6,069,724 USD) transferred from #Coinbase to unknown wallet Tx: https://t.co/4DxHaBCBrI whale-alert.io Transaction | Whale Alert Monitor crypto market trends and large transactions with Whale Alert. Set personalized alerts, view live price updates and analyze crypto data throug",0,75,growth_hack,cd6c20281318
2020-03-10,crypto_defi,@whale_alert,"Whale Alert 💵 4,604,554 #PAX (4,642,824 USD) minted at PAX Treasury Tx: https://t.co/SLvLTFonoS whale-alert.io Transaction | Whale Alert Monitor crypto market trends and large transactions with Whale Alert. Set personalized alerts, view live price updates and analyze crypto data through powerful vis",0,75,growth_hack,fe8281094944
2020-03-10,crypto_defi,@whale_alert,"Whale Alert 💵 1,372,258 #BUSD (1,372,258 USD) minted at PAX Treasury Tx: https://t.co/wb2dlHmKFl whale-alert.io Transaction | Whale Alert Monitor crypto market trends and large transactions with Whale Alert. Set personalized alerts, view live price updates and analyze crypto data through powerful vi",0,75,growth_hack,bd8b4038102f
2020-03-11,crypto_defi,@whale_alert,"Whale Alert 🔥 1,500,000 #HUSD (1,500,000 USD) burned at #Huobi Tx: https://t.co/77ZZY4pAZ8 whale-alert.io Transaction | Whale Alert Monitor crypto market trends and large transactions with Whale Alert. Set personalized alerts, view live price updates and analyze crypto data through powerful visualiz",0,75,growth_hack,3f382a549238
2020-03-11,crypto_defi,@whale_alert,"Whale Alert 💵 2,000,000 #HUSD (2,000,000 USD) minted at #Huobi Tx: https://t.co/Ojy7uzNGKe whale-alert.io Transaction | Whale Alert Monitor crypto market trends and large transactions with Whale Alert. Set personalized alerts, view live price updates and analyze crypto data through powerful visualiz",0,75,growth_hack,4958e87f9687
2020-03-11,crypto_defi,@whale_alert,"Whale Alert 1,000 #BTC (7,903,788 USD) transferred from #Bitstamp to #Binance Tx: https://t.co/tl01LQQWht 48.7K views 02:14",0,75,growth_hack,af6b1d8fcb5a
