program_id,platform,program_name,payout_model,rpm_low,rpm_high,requirements,last_updated,change_detected,notes
CP001,X/Twitter,Creator Revenue Share,CPM,$0.50,$3.00,Verified + 500 followers + 5M impressions/3mo,2026-02-04,Doubled pool Jan 2026,Focus on Home timeline views
2026-03-21,TikTok,Creativity Program Beta,active,"10K+ followers, 100K views in 30 days, 18+, US/UK/FR/DE/BR/KR/JP, videos >1min",$0.50-$1.00 per 1000 qualified views,Replaced original Creator Fund. Higher payouts for longer content (>1min).,https://www.tiktok.com/creators/creator-portal/en-us/getting-paid-to-create/creativity-program-beta/
2026-03-21,TikTok,TikTok Shop Affiliate,active,"1K+ followers, 18+, US based",5-30% commission on product sales,Growing fast. Small creators (<50K) get 4.3x higher CTR than large accounts.,https://shop.tiktok.com/business/en/creator
2026-03-21,YouTube,YouTube Partner Program (YPP),active,500 subscribers + 3 uploads in 90 days + (3K watch hours OR 3M Shorts views in 90 days),"45% Shorts ad revenue, 55% long-form ad revenue (RPM $2-40 by niche)",Lower threshold tier added. Shopping features expanded. Shorts ad revenue share improved to 45%.,https://support.google.com/youtube/answer/72851
2026-03-21,YouTube,YouTube Memberships,active,500+ subscribers (lower tier) or 1K+ for full YPP,70% of membership fees (after Apple/Google cut on mobile),Gift memberships available. Lower eligibility threshold added.,https://support.google.com/youtube/answer/7636690
2026-03-21,YouTube,YouTube Super Chat/Thanks,active,YPP membership required,70% of Super Chat/Thanks revenue,Super Thanks now available on Shorts.,https://support.google.com/youtube/answer/7288782
2026-03-21,Instagram,Instagram Subscriptions,active,"US-based, 10K+ followers, 18+, professional account, compliance with policies",$0.99-$99.99/month tiers. Instagram takes ~30% on iOS.,Expanding to more creators. Exclusive content features improved.,https://about.instagram.com/blog/announcements/instagram-subscriptions
2026-03-21,Instagram,Instagram Reels Bonuses,winding_down,Invite-only. Being phased out.,Previously up to $35K/month based on performance,Being phased out in 2025-2026. Replaced by Subscriptions and Shopping focus.,https://about.instagram.com/blog
2026-03-21,X/Twitter,X Creator Revenue Sharing,active,"X Premium subscriber, 500+ followers, 5M impressions in last 3 months",Share of ad revenue from ads in replies. ~$2-8 per 1M impressions.,Payouts via Stripe. Must have Premium subscription ($8-16/month).,https://help.twitter.com/en/using-x/creator-ads-revenue-sharing
2026-03-21,X/Twitter,X Subscriptions (Super Follows),active,"X Premium, 500+ followers, 18+",Creator sets price $2.99-$9.99/mo. X takes ~3-12% depending on Apple/web.,Rebranded from Super Follows. Lower X commission on web vs iOS.,https://help.twitter.com/en/using-x/subscriptions
2026-03-21,Medium,Medium Partner Program,active,"100+ followers, published 1+ story in last 6 months, Stripe-supported country",Based on member reading time. ~$50-500 per 1K member reads. Top writers $5K+/mo.,Boosted distribution for Partner Program members. New referral bonuses.,https://help.medium.com/hc/en-us/articles/115011694187
2026-03-21,Substack,Substack Pro/Growth Programs,active,No minimum. Anyone can start. Paid features at any subscriber count.,90% of subscription revenue (Substack takes 10%). Avg $5-15/mo per paid sub.,Substack Notes driving discovery. Recommendation network between newsletters.,https://substack.com/going-paid
2026-03-21,Beehiiv,Beehiiv Ad Network,active,1K+ subscribers for ad network access,"$2-5 CPM for newsletter ads. Higher for premium niches (finance, tech).",Ad network expanding. Boosts feature for cross-promotion.,https://www.beehiiv.com/advertise
2026-03-21,Fanvue,Fanvue Creator Program,active,No minimum. AI creators explicitly allowed.,"80% revenue share (Fanvue takes 20%). Tips, subscriptions, PPV.",AI-friendly platform. $100M+ ARR. Growing alternative to OnlyFans for AI creators.,https://www.fanvue.com/creators
2026-03-21,Spotify,Spotify for Creators (Music),active,Distribute via DistroKid/TuneCore/etc. 1K+ streams for payout.,$0.003-$0.005 per stream. ~$3-5 per 1000 streams.,AI-generated music policies tightening. Must disclose AI usage.,https://artists.spotify.com
2026-03-22,TikTok,Creativity Program Beta,active,"10K+ followers, 100K views in 30 days, 18+, US/UK/FR/DE/BR/KR/JP, videos >1min",$0.50-$1.00 per 1000 qualified views,Replaced original Creator Fund. Higher payouts for longer content (>1min).,https://www.tiktok.com/creators/creator-portal/en-us/getting-paid-to-create/creativity-program-beta/
2026-03-22,TikTok,TikTok Shop Affiliate,active,"1K+ followers, 18+, US based",5-30% commission on product sales,Growing fast. Small creators (<50K) get 4.3x higher CTR than large accounts.,https://shop.tiktok.com/business/en/creator
2026-03-22,YouTube,YouTube Partner Program (YPP),active,500 subscribers + 3 uploads in 90 days + (3K watch hours OR 3M Shorts views in 90 days),"45% Shorts ad revenue, 55% long-form ad revenue (RPM $2-40 by niche)",Lower threshold tier added. Shopping features expanded. Shorts ad revenue share improved to 45%.,https://support.google.com/youtube/answer/72851
2026-03-22,YouTube,YouTube Memberships,active,500+ subscribers (lower tier) or 1K+ for full YPP,70% of membership fees (after Apple/Google cut on mobile),Gift memberships available. Lower eligibility threshold added.,https://support.google.com/youtube/answer/7636690
2026-03-22,YouTube,YouTube Super Chat/Thanks,active,YPP membership required,70% of Super Chat/Thanks revenue,Super Thanks now available on Shorts.,https://support.google.com/youtube/answer/7288782
2026-03-22,Instagram,Instagram Subscriptions,active,"US-based, 10K+ followers, 18+, professional account, compliance with policies",$0.99-$99.99/month tiers. Instagram takes ~30% on iOS.,Expanding to more creators. Exclusive content features improved.,https://about.instagram.com/blog/announcements/instagram-subscriptions
2026-03-22,Instagram,Instagram Reels Bonuses,winding_down,Invite-only. Being phased out.,Previously up to $35K/month based on performance,Being phased out in 2025-2026. Replaced by Subscriptions and Shopping focus.,https://about.instagram.com/blog
