Date,Niche,Platform,Mode,Follows,Likes,Replies,Posts,Flags,Notes
2026-01-19,AI,X,M1-Manual,0,0,0,0,NONE,Day 1
2026-01-19,AI,TikTok,M1-Manual,0,0,0,0,NONE,Day 1
2026-01-19,AI,Instagram,M1-Manual,0,0,0,0,NONE,Day 1
2026-01-19,AI,YouTube,M1-Manual,0,0,0,0,NONE,Day 1
2026-01-19,Faith,X,M1-Manual,0,0,0,0,NONE,Day 1
2026-01-19,Faith,TikTok,M1-Manual,0,0,0,0,NONE,Day 1
2026-01-19,Faith,Instagram,M1-Manual,0,0,0,0,NONE,Day 1
2026-01-19,Faith,YouTube,M1-Manual,0,0,0,0,NONE,Day 1
2026-01-19,Fitness,X,M1-Manual,0,0,0,0,NONE,Day 1
2026-01-19,Fitness,TikTok,M1-Manual,0,0,0,0,NONE,Day 1
2026-01-19,Fitness,Instagram,M1-Manual,0,0,0,0,NONE,Day 1
2026-01-19,Fitness,YouTube,M1-Manual,0,0,0,0,NONE,Day 1
2026-01-20,AI,X,M1-Manual,0,0,0,0,NONE,Day 2
2026-01-20,AI,TikTok,M1-Manual,0,0,0,0,NONE,Day 2
2026-01-20,AI,Instagram,M1-Manual,0,0,0,0,NONE,Day 2
2026-01-20,AI,YouTube,M1-Manual,0,0,0,0,NONE,Day 2
2026-01-20,Faith,X,M1-Manual,0,0,0,0,NONE,Day 2
2026-01-20,Faith,TikTok,M1-Manual,0,0,0,0,NONE,Day 2
2026-01-20,Faith,Instagram,M1-Manual,0,0,0,0,NONE,Day 2
2026-01-20,Faith,YouTube,M1-Manual,0,0,0,0,NONE,Day 2
2026-01-20,Fitness,X,M1-Manual,0,0,0,0,NONE,Day 2
2026-01-20,Fitness,TikTok,M1-Manual,0,0,0,0,NONE,Day 2
2026-01-20,Fitness,Instagram,M1-Manual,0,0,0,0,NONE,Day 2
2026-01-20,Fitness,YouTube,M1-Manual,0,0,0,0,NONE,Day 2
2026-01-21,AI,X,M1-Manual,0,0,0,0,NONE,Day 3
2026-01-21,AI,TikTok,M1-Manual,0,0,0,0,NONE,Day 3
