id,account,content,author_name,author_handle,timestamp,tweet_date,tweet_time,day_of_week,hour_of_day,likes,retweets,replies,views,bookmarks,quotes,external_link,media_urls,downloaded_media,is_thread,is_quote_tweet,quoted_content,ai_score,levelsio_ai_flags,collected_at
FearedBuck_1749595807141_0,FearedBuck,"It’s kinda crazy Michael Jackson asked the Brazilian government for permission to shoot this music video, they said no and the local mafia ended up protecting him instead ",FearBuck,FearedBuck,2025-06-07T19:33:20.000Z,2025-06-07,19:33:20,Saturday,19,508976,37200,1592,21918010,0,0,https://x.com/FearedBuck/status/1931434319274442985,[],[],1,0,,0.0,[],2025-06-10T18:50:07.411579
AMAZlNGNATURE_1749595806622_2,AMAZlNGNATURE,I had no idea turtles eat snakes ,Nature is Amazing,AMAZlNGNATURE,2025-05-01T13:49:49.000Z,2025-05-01,13:49:49,Thursday,13,81657,5092,1175,492433,0,0,https://x.com/AMAZlNGNATURE/status/1917939518000210352,[],[],1,0,,0.0,[],2025-06-10T18:50:07.566730
FearedBuck_1749595807506_0,FearedBuck,"Charlamagne says award shows should be inviting Kai Cenat to stream the events and paying him six figures for promotion, as he didn’t even know some of them were happening until he saw Kai there ",FearBuck,FearedBuck,2025-06-10T22:06:23.000Z,2025-06-10,22:06:23,Tuesday,22,2405,115,50,84533,0,0,https://x.com/FearedBuck/status/1932559999542206597,"[""https://pbs.twimg.com/amplify_video_thumb/1932559266381983744/img/UsRcf0TYOp1v-2D1.jpg""]",[],1,0,,0.0,[],2025-06-10T18:50:07.647396
AMAZlNGNATURE_1749595807630_2,AMAZlNGNATURE,"A meteor fell near the most active volcano (Mount Merapi) in Indonesia

: Gunarto Song",Nature is Amazing,AMAZlNGNATURE,2025-06-10T22:21:03.000Z,2025-06-10,22:21:03,Tuesday,22,958,152,96,59294,0,0,https://x.com/AMAZlNGNATURE/status/1932563688667373813,"[""https://pbs.twimg.com/media/GtHYbvbWEAAB-SX?format=jpg&name=large""]",[],1,0,,0.0,[],2025-06-10T18:50:07.804457
FearedBuck_1749595807723_0,FearedBuck,Every Apple device stolen from the Apple Store in Downtown Los Angeles last night is now sounding an alarm saying it should be returned ,FearBuck,FearedBuck,2025-06-10T20:51:13.000Z,2025-06-10,20:51:13,Tuesday,20,3519,192,103,221289,0,0,https://x.com/FearedBuck/status/1932541081528209797,"[""https://pbs.twimg.com/amplify_video_thumb/1932519978160320512/img/zfnKu_X_ULMgAmss.jpg""]",[],1,0,,0.0,[],2025-06-10T18:50:07.901665
AMAZlNGNATURE_1749595807889_2,AMAZlNGNATURE,Goat riding a motorcycle,Nature is Amazing,AMAZlNGNATURE,2025-06-10T21:01:59.000Z,2025-06-10,21:01:59,Tuesday,21,695,84,77,77770,0,0,https://x.com/AMAZlNGNATURE/status/1932543793284128828,"[""https://pbs.twimg.com/ext_tw_video_thumb/1932543766549630976/pu/img/toq4vetgBAtrMDK9.jpg""]",[],1,0,,0.0,[],2025-06-10T18:50:08.023140
FearedBuck_1749595807967_0,FearedBuck,Streamer recording a jewelry store being looted last night in LA was jumped by the looters for filming ,FearBuck,FearedBuck,2025-06-10T20:38:59.000Z,2025-06-10,20:38:59,Tuesday,20,2294,136,123,196975,0,0,https://x.com/FearedBuck/status/1932538005035889092,"[""https://pbs.twimg.com/amplify_video_thumb/1932337849833287680/img/SREB-ru66PvwNrB-.jpg""]",[],1,0,,0.0,[],2025-06-10T18:50:08.119226
AMAZlNGNATURE_1749595808080_2,AMAZlNGNATURE,What kind of dog is this?,Nature is Amazing,AMAZlNGNATURE,2025-06-10T20:28:46.000Z,2025-06-10,20:28:46,Tuesday,20,692,54,72,83550,0,0,https://x.com/AMAZlNGNATURE/status/1932535432236892298,"[""https://pbs.twimg.com/ext_tw_video_thumb/1932535415052865536/pu/img/zwxrBVYSZuXOtZb_.jpg""]",[],1,0,,0.0,[],2025-06-10T18:50:08.233322
FearedBuck_1749595808188_0,FearedBuck,"YourRage says his final goodbyes to family, friends, and fans before undergoing double knee surgery ",FearBuck,FearedBuck,2025-06-10T19:55:00.000Z,2025-06-10,19:55:00,Tuesday,19,7358,98,132,302228,0,0,https://x.com/FearedBuck/status/1932526936640688281,"[""https://pbs.twimg.com/amplify_video_thumb/1932508848734285824/img/NAIUYDjPdzOyEAKV.jpg""]",[],1,0,,0.0,[],2025-06-10T18:50:08.339888
AMAZlNGNATURE_1749595808288_2,AMAZlNGNATURE,"The Armadillo Lizard bites its tail in a unique defensive posture, this posture makes it more difficult for predators to swallow, and it protects their belly.",Nature is Amazing,AMAZlNGNATURE,2025-06-10T19:42:42.000Z,2025-06-10,19:42:42,Tuesday,19,4073,400,108,156937,0,0,https://x.com/AMAZlNGNATURE/status/1932523839377829985,"[""https://pbs.twimg.com/ext_tw_video_thumb/1932523784617009152/pu/img/JbI1cPfK1meCCE0y.jpg""]",[],1,0,,0.0,[],2025-06-10T18:50:08.506472
